name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
8,6.56,2.2014283,0.1448717,0.0971247,110.205216,32.016655,-35.510731,40.63,2,0
18,6.55,2.2957625,0.1801599,0.1701454,103.484712,32.563804,-39.577086,12.71,2,0
40,7.15,2.2672678,0.0215663,0.0654117,105.438927,34.76722,-35.198013,2.99,2,0
43,7.87,2.2033544,0.1405809,0.0706118,110.058872,32.668452,-35.568946,43.38,2,0
72,8.97,2.2662216,0.0741323,0.103738,105.511998,33.884253,-35.56385,1.44,2,0
80,8.08,2.2959616,0.1508137,0.1620072,103.469681,32.865349,-38.309279,5.44,2,0
136,9.57,2.2867858,0.0183484,0.1732009,104.09212,31.892787,-34.817532,2.96,2,0
149,10.39,2.174692,0.0836163,0.025378,112.244267,32.199897,-33.224933,12.69,2,0
207,9.99,2.2839871,0.0656388,0.0589419,104.282906,35.482041,-36.342327,3.18,2,0
228,12.15,2.2014169,0.1815277,0.0521891,110.205375,32.872973,-37.247536,50.68,2,0
244,12.0,2.1744788,0.1071638,0.0624946,112.260668,31.822078,-33.692252,6.59,2,0
254,11.64,2.1948195,0.1178305,0.0725309,110.703432,32.319582,-34.524527,6.59,2,0
270,8.81,2.1983855,0.0931486,0.055608,110.43513,32.682232,-34.064146,11.7,2,0
281,11.81,2.1877749,0.130589,0.0765181,111.238554,32.026641,-34.729131,10.46,2,0
291,11.41,2.2220512,0.1430422,0.0363002,108.673988,33.738761,-36.434983,17.03,2,0
296,12.45,2.2286801,0.1233437,0.0241679,108.188264,34.030107,-36.013856,19.12,2,0
298,11.16,2.2638534,0.1476044,0.1038151,105.677267,33.923326,-37.678082,9.92,2,298
315,12.5,2.2414177,0.117217,0.0420809,107.2683,34.298848,-36.209748,5.85,2,0
317,9.7,2.2865734,0.0417224,0.0312494,104.106013,35.894854,-36.205472,3.5,2,0
336,9.66,2.2518088,0.0882378,0.1071108,106.526823,33.341414,-35.350989,2.56,2,0
341,11.27,2.1993956,0.1276456,0.0916918,110.357963,32.088473,-34.874103,5.64,2,0
352,10.08,2.1940976,0.1367331,0.07479,110.757941,32.300987,-35.096411,3.03,2,0
364,9.7,2.2207733,0.1586387,0.0965366,108.769975,32.705315,-36.671272,19.47,2,0
367,10.5,2.2194294,0.1473923,0.0399476,108.866593,33.616622,-36.51903,18.72,2,0
376,9.5,2.2886257,0.171239,0.1063662,103.965576,34.736961,-39.659699,10.04,2,0
422,10.67,2.2288955,0.1619098,0.0811356,108.172856,33.345464,-37.180439,41.42,2,0
440,11.46,2.2103087,0.153121,0.0376792,109.540599,33.383434,-36.35187,18.99,2,0
443,10.05,2.2154306,0.1002429,0.0823752,109.162035,32.76869,-34.623775,20.68,2,0
453,10.36,2.1832279,0.1396207,0.0931712,111.58665,31.606972,-34.792302,30.16,2,0
496,11.63,2.198895,0.1309534,0.0770131,110.395635,32.382805,-35.061715,10.66,2,0
512,10.7,2.1892022,0.1758445,0.1464212,111.1194,30.194881,-36.948561,532.26,2,0
525,11.94,2.2451919,0.1485549,0.1156772,106.99756,32.962359,-36.947826,22.88,2,0
540,10.57,2.2188901,0.1456729,0.1042235,108.906101,32.429725,-36.046484,41.43,2,0
548,11.24,2.2821695,0.1902043,0.0554563,104.405858,35.664897,-40.834028,31.93,2,0
553,12.01,2.2308297,0.1273453,0.0830861,108.033151,33.307517,-35.922248,3.33,2,0
574,12.23,2.2407997,0.2245452,0.1118862,107.275632,33.143617,-40.8007,250.47,2,0
641,12.42,2.2199205,0.132844,0.018882,108.830525,33.780512,-36.027571,12.19,2,0
654,8.58,2.2969672,0.2130088,0.3164765,103.401519,23.54973,-37.501735,9.16,2,0
685,11.86,2.2358725,0.144745,0.0787663,107.668032,33.500351,-36.740437,43.59,2,0
700,10.93,2.2295369,0.1538522,0.1115151,108.127131,32.57948,-36.662198,16.57,2,0
703,12.45,2.1749203,0.1236937,0.0580318,112.229735,31.934898,-34.17772,28.03,2,0
707,12.05,2.180348,0.0786945,0.0806463,111.807793,31.637764,-33.160977,11.89,2,0
711,11.69,2.2372447,0.1492895,0.1050504,107.568594,33.002582,-36.815134,14.44,2,0
722,12.3,2.171901,0.0741032,0.0887587,112.4608,31.257448,-32.834989,4.45,2,0
728,12.78,2.2545269,0.1356419,0.0639363,106.347799,34.547195,-37.190086,61.61,2,0
